,culture_plate,culture_well,dilutant_plate,dilutant_well,destination,destination_well,culture_volume,dilutant_volume,row,column,platerowcol
D4,CELL PLATE,D4,MEDIA,4,Intermediate,D4,150.0,0.0,D,4,CELL PLATEIntermediate4
E4,CELL PLATE,E4,MEDIA,4,Intermediate,E4,142.6056394220676,7.394360577932391,E,4,CELL PLATEIntermediate4
F4,CELL PLATE,F4,MEDIA,4,Intermediate,F4,150.0,0.0,F,4,CELL PLATEIntermediate4
G4,CELL PLATE,G4,MEDIA,4,Intermediate,G4,150.0,0.0,G,4,CELL PLATEIntermediate4
H4,CELL PLATE,H4,MEDIA,4,Intermediate,H4,65.73608416655517,84.26391583344483,H,4,CELL PLATEIntermediate4
A5,CELL PLATE,A5,MEDIA,4,Intermediate,A5,101.3386708560437,48.66132914395631,A,5,CELL PLATEIntermediate5
B5,CELL PLATE,B5,MEDIA,4,Intermediate,B5,81.43977830319297,68.56022169680703,B,5,CELL PLATEIntermediate5
C5,CELL PLATE,C5,MEDIA,4,Intermediate,C5,100.09886952394086,49.90113047605913,C,5,CELL PLATEIntermediate5
D5,CELL PLATE,D5,MEDIA,4,Intermediate,D5,150.0,0.0,D,5,CELL PLATEIntermediate5
E5,CELL PLATE,E5,MEDIA,4,Intermediate,E5,150.0,0.0,E,5,CELL PLATEIntermediate5
F5,CELL PLATE,F5,MEDIA,4,Intermediate,F5,150.0,0.0,F,5,CELL PLATEIntermediate5
G5,CELL PLATE,G5,MEDIA,4,Intermediate,G5,150.0,0.0,G,5,CELL PLATEIntermediate5
H5,CELL PLATE,H5,MEDIA,4,Intermediate,H5,69.3493132122925,80.6506867877075,H,5,CELL PLATEIntermediate5
A6,CELL PLATE,A6,MEDIA,4,Intermediate,A6,74.64062125238557,75.35937874761443,A,6,CELL PLATEIntermediate6
B6,CELL PLATE,B6,MEDIA,4,Intermediate,B6,63.94568773018179,86.05431226981821,B,6,CELL PLATEIntermediate6
C6,CELL PLATE,C6,MEDIA,4,Intermediate,C6,108.54999324660042,41.45000675339956,C,6,CELL PLATEIntermediate6
D6,CELL PLATE,D6,MEDIA,4,Intermediate,D6,150.0,0.0,D,6,CELL PLATEIntermediate6
E6,CELL PLATE,E6,MEDIA,4,Intermediate,E6,150.0,0.0,E,6,CELL PLATEIntermediate6
F6,CELL PLATE,F6,MEDIA,4,Intermediate,F6,150.0,0.0,F,6,CELL PLATEIntermediate6
G6,CELL PLATE,G6,MEDIA,4,Intermediate,G6,150.0,0.0,G,6,CELL PLATEIntermediate6
H6,CELL PLATE,H6,MEDIA,4,Intermediate,H6,69.59958994020883,80.40041005979116,H,6,CELL PLATEIntermediate6
A7,CELL PLATE,A7,MEDIA,4,Intermediate,A7,82.00870922881911,67.99129077118087,A,7,CELL PLATEIntermediate7
B7,CELL PLATE,B7,MEDIA,4,Intermediate,B7,113.0495412478083,36.95045875219169,B,7,CELL PLATEIntermediate7
C7,CELL PLATE,C7,MEDIA,4,Intermediate,C7,96.14243097281539,53.85756902718462,C,7,CELL PLATEIntermediate7
D7,CELL PLATE,D7,MEDIA,4,Intermediate,D7,150.0,0.0,D,7,CELL PLATEIntermediate7
E7,CELL PLATE,E7,MEDIA,4,Intermediate,E7,124.8651229530506,25.134877046949402,E,7,CELL PLATEIntermediate7
F7,CELL PLATE,F7,MEDIA,4,Intermediate,F7,150.0,0.0,F,7,CELL PLATEIntermediate7
G7,CELL PLATE,G7,MEDIA,4,Intermediate,G7,126.32564631567926,23.674353684320728,G,7,CELL PLATEIntermediate7
H7,CELL PLATE,H7,MEDIA,4,Intermediate,H7,150.0,0.0,H,7,CELL PLATEIntermediate7
A8,CELL PLATE,A8,MEDIA,4,Intermediate,A8,97.42603236641135,52.57396763358864,A,8,CELL PLATEIntermediate8
B8,CELL PLATE,B8,MEDIA,4,Intermediate,B8,115.41749665006536,34.582503349934626,B,8,CELL PLATEIntermediate8
C8,CELL PLATE,C8,MEDIA,4,Intermediate,C8,94.19700439076973,55.80299560923027,C,8,CELL PLATEIntermediate8
D8,CELL PLATE,D8,MEDIA,4,Intermediate,D8,150.0,0.0,D,8,CELL PLATEIntermediate8
E8,CELL PLATE,E8,MEDIA,4,Intermediate,E8,131.0467612065141,18.95323879348589,E,8,CELL PLATEIntermediate8
F8,CELL PLATE,F8,MEDIA,4,Intermediate,F8,150.0,0.0,F,8,CELL PLATEIntermediate8
G8,CELL PLATE,G8,MEDIA,4,Intermediate,G8,121.7130024934704,28.286997506529605,G,8,CELL PLATEIntermediate8
H8,CELL PLATE,H8,MEDIA,4,Intermediate,H8,150.0,0.0,H,8,CELL PLATEIntermediate8
A9,CELL PLATE,A9,MEDIA,4,Intermediate,A9,102.10513154400277,47.89486845599724,A,9,CELL PLATEIntermediate9
B9,CELL PLATE,B9,MEDIA,4,Intermediate,B9,115.76389607919354,34.23610392080647,B,9,CELL PLATEIntermediate9
C9,CELL PLATE,C9,MEDIA,4,Intermediate,C9,100.92200160818727,49.07799839181273,C,9,CELL PLATEIntermediate9
D9,CELL PLATE,D9,MEDIA,4,Intermediate,D9,150.0,0.0,D,9,CELL PLATEIntermediate9
E9,CELL PLATE,E9,MEDIA,4,Intermediate,E9,129.60000849723872,20.399991502761292,E,9,CELL PLATEIntermediate9
F9,CELL PLATE,F9,MEDIA,4,Intermediate,F9,150.0,0.0,F,9,CELL PLATEIntermediate9
G9,CELL PLATE,G9,MEDIA,4,Intermediate,G9,129.22782603376612,20.772173966233876,G,9,CELL PLATEIntermediate9
H9,CELL PLATE,H9,MEDIA,4,Intermediate,H9,0.0,150.0,H,9,CELL PLATEIntermediate9
A10,CELL PLATE,A10,MEDIA,4,Intermediate,A10,119.03013195077556,30.969868049224456,A,10,CELL PLATEIntermediate10
B10,CELL PLATE,B10,MEDIA,4,Intermediate,B10,83.97263239347275,66.02736760652725,B,10,CELL PLATEIntermediate10
C10,CELL PLATE,C10,MEDIA,4,Intermediate,C10,43.01874725961217,106.98125274038783,C,10,CELL PLATEIntermediate10
D10,CELL PLATE,D10,MEDIA,4,Intermediate,D10,115.56570990833272,34.43429009166729,D,10,CELL PLATEIntermediate10
E10,CELL PLATE,E10,MEDIA,4,Intermediate,E10,138.50889340129476,11.491106598705256,E,10,CELL PLATEIntermediate10
F10,CELL PLATE,F10,MEDIA,4,Intermediate,F10,97.11066203270488,52.88933796729511,F,10,CELL PLATEIntermediate10
G10,CELL PLATE,G10,MEDIA,4,Intermediate,G10,127.51890114906858,22.481098850931424,G,10,CELL PLATEIntermediate10
H10,CELL PLATE,H10,MEDIA,4,Intermediate,H10,0.0,150.0,H,10,CELL PLATEIntermediate10
A11,CELL PLATE,A11,MEDIA,4,Intermediate,A11,100.5461797167676,49.4538202832324,A,11,CELL PLATEIntermediate11
B11,CELL PLATE,B11,MEDIA,4,Intermediate,B11,78.45796423120056,71.54203576879944,B,11,CELL PLATEIntermediate11
C11,CELL PLATE,C11,MEDIA,4,Intermediate,C11,43.72233624525385,106.27766375474614,C,11,CELL PLATEIntermediate11
D11,CELL PLATE,D11,MEDIA,4,Intermediate,D11,116.86625404180698,33.133745958193025,D,11,CELL PLATEIntermediate11
E11,CELL PLATE,E11,MEDIA,4,Intermediate,E11,150.0,0.0,E,11,CELL PLATEIntermediate11
F11,CELL PLATE,F11,MEDIA,4,Intermediate,F11,90.74613300288571,59.2538669971143,F,11,CELL PLATEIntermediate11
G11,CELL PLATE,G11,MEDIA,4,Intermediate,G11,132.5261793894667,17.473820610533288,G,11,CELL PLATEIntermediate11
H11,CELL PLATE,H11,MEDIA,4,Intermediate,H11,0.0,150.0,H,11,CELL PLATEIntermediate11
A12,CELL PLATE,A12,MEDIA,4,Intermediate,A12,105.78555964261753,44.214440357382486,A,12,CELL PLATEIntermediate12
B12,CELL PLATE,B12,MEDIA,4,Intermediate,B12,80.34917473582891,69.65082526417108,B,12,CELL PLATEIntermediate12
C12,CELL PLATE,C12,MEDIA,4,Intermediate,C12,44.72913894320509,105.2708610567949,C,12,CELL PLATEIntermediate12
D12,CELL PLATE,D12,MEDIA,4,Intermediate,D12,150.0,0.0,D,12,CELL PLATEIntermediate12
E12,CELL PLATE,E12,MEDIA,4,Intermediate,E12,150.0,0.0,E,12,CELL PLATEIntermediate12
F12,CELL PLATE,F12,MEDIA,4,Intermediate,F12,97.92069817850098,52.07930182149901,F,12,CELL PLATEIntermediate12
G12,CELL PLATE,G12,MEDIA,4,Intermediate,G12,129.41364043183677,20.58635956816323,G,12,CELL PLATEIntermediate12
H12 - 1,CELL PLATE,H12,MEDIA,4,Intermediate,H12,-700.0863911836649,200.0,H,12,CELL PLATEIntermediate12
H12 - 2,CELL PLATE,H12,MEDIA,4,Intermediate,H12,0.0,200.0,H,12,CELL PLATEIntermediate12
H12 - 3,CELL PLATE,H12,MEDIA,4,Intermediate,H12,0.0,200.0,H,12,CELL PLATEIntermediate12
H12 - 4,CELL PLATE,H12,MEDIA,4,Intermediate,H12,0.0,200.0,H,12,CELL PLATEIntermediate12
H12 - 5,CELL PLATE,H12,MEDIA,4,Intermediate,H12,0.0,50.08639118366489,H,12,CELL PLATEIntermediate12
